ID interactor A	ID interactor B	Alt. ID interactor A	Alt. ID interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)	Processing Status		
DIP-1449N|refseq:NP_116618|uniprotkb:P43563	DIP-5656N|refseq:NP_014238|uniprotkb:P53894	 -	-	-	-	MI:0114(x-ray crystallography)|MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)	-	pubmed:25966461|pubmed:DIP-17552S|pubmed:11805837|pubmed:DIP-1767S|pubmed:11805837|pubmed:DIP-1767S|pubmed:11805837|pubmed:DIP-1767S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0407(direct interaction)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-11597E	dip-quality-status:core	dip:0004(small scale)|dip:0005(high throughput)|dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-6449N|refseq:NP_010579|uniprotkb:P24276	DIP-5656N|refseq:NP_014238|uniprotkb:P53894	 -	-	-	-	MI:0096(pull down)|MI:0096(pull down)|MI:0007(anti tag coimmunoprecipitation)	-	pubmed:25966461|pubmed:DIP-17552S|pubmed:25966461|pubmed:DIP-17552S|pubmed:11805837|pubmed:DIP-1767S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0915(physical association)	MI:0465(dip)	DIP-11602E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)|dip:0005(high throughput)		-
DIP-5596N|refseq:NP_010056|uniprotkb:Q07657	DIP-673N|refseq:NP_009928|uniprotkb:P25342	 -	-	-	-	MI:0019(coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)	-	pubmed:12058072|pubmed:DIP-1820S|pubmed:11805837|pubmed:DIP-1767S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)|MI:0915(physical association)	MI:0465(dip)	DIP-11617E	dip-quality-status:core	dip:0002(small scale)|dip:0005(high throughput)		-
DIP-5596N|refseq:NP_010056|uniprotkb:Q07657	DIP-3010N|refseq:NP_013418|uniprotkb:P32457	 -	-	-	-	MI:0019(coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)|MI:0676(tandem affinity purification)	-	pubmed:12058072|pubmed:DIP-1820S|pubmed:11805837|pubmed:DIP-1767S|pubmed:11805826|pubmed:DIP-1768S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)|MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-11673E	dip-quality-status:core	dip:0002(small scale)|dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-1181N|refseq:NP_014032|uniprotkb:P00331	DIP-862N|refseq:NP_013330|uniprotkb:P19073	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)	-	pubmed:11805837|pubmed:DIP-1767S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0915(physical association)	MI:0465(dip)	DIP-11680E	dip-quality-status:core	dip:0005(high throughput)		-
DIP-6307N|refseq:NP_009839|uniprotkb:P38352	DIP-1234N|refseq:NP_010150|uniprotkb:Q12018	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)	-	pubmed:11805837|pubmed:DIP-1767S|pubmed:11805837|pubmed:DIP-1767S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-11696E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-1234N|refseq:NP_010150|uniprotkb:Q12018	DIP-1631N|refseq:NP_013456|uniprotkb:Q06479	 -	-	-	-	MI:0019(coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)	-	pubmed:11283612|pubmed:DIP-1815S|pubmed:11805837|pubmed:DIP-1767S|pubmed:11805837|pubmed:DIP-1767S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)|MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-11697E	dip-quality-status:core	dip:0002(small scale)|dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-5630N|refseq:NP_010117|uniprotkb:P04819	DIP-6541N|refseq:NP_010884|uniprotkb:P39987	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)	-	pubmed:11805837|pubmed:DIP-1767S|pubmed:11805837|pubmed:DIP-1767S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-11724E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-5630N|refseq:NP_010117|uniprotkb:P04819	DIP-2417N|refseq:NP_009645|uniprotkb:P15873	 -	-	-	-	MI:0018(two hybrid)|MI:0007(anti tag coimmunoprecipitation)	-	pubmed:20967232|pubmed:DIP-14466S|pubmed:11805837|pubmed:DIP-1767S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-11725E	dip-quality-status:core	dip:0004(small scale)|dip:0005(high throughput)		-
DIP-5915N|refseq:NP_011512|uniprotkb:P53197	DIP-1039N|refseq:NP_009718|uniprotkb:P00546	 -	-	-	-	MI:0401(biochemical)|MI:0019(coimmunoprecipitation)|MI:0424(protein kinase assay)|MI:0401(biochemical)|MI:0007(anti tag coimmunoprecipitation)	-	pubmed:10074450|pubmed:DIP-3926S|pubmed:11566880|pubmed:DIP-1840S|pubmed:14574415|pubmed:DIP-3924S|pubmed:9831566|pubmed:DIP-3925S|pubmed:11805837|pubmed:DIP-1767S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0915(physical association)	MI:0465(dip)	DIP-11729E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0005(high throughput)|dip:0002(small scale)|dip:0005(high throughput)		-
DIP-48N|refseq:NP_012229|uniprotkb:P15790	DIP-551N|refseq:NP_012231|uniprotkb:P07278	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)	-	pubmed:11805837|pubmed:DIP-1767S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0915(physical association)	MI:0465(dip)	DIP-11736E	dip-quality-status:core	dip:0005(high throughput)		-
DIP-48N|refseq:NP_012229|uniprotkb:P15790	DIP-2546N|refseq:NP_011308|uniprotkb:P32558	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)|MI:0676(tandem affinity purification)	-	pubmed:11805837|pubmed:DIP-1767S|pubmed:11805826|pubmed:DIP-1768S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-11763E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-5304N|refseq:NP_011604|uniprotkb:P53254	DIP-48N|refseq:NP_012229|uniprotkb:P15790	 -	-	-	-	MI:0676(tandem affinity purification)|MI:0007(anti tag coimmunoprecipitation)	-	pubmed:11805826|pubmed:DIP-1768S|pubmed:11805837|pubmed:DIP-1767S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-11773E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-2582N|refseq:NP_010136|uniprotkb:P53622	DIP-4711N|refseq:NP_012189|uniprotkb:P40509	 -	-	-	-	MI:0071(molecular sieving)|MI:0114(x-ray crystallography)|MI:0226(ion exchange chromatography)|MI:0028(cosedimentation in solution)|MI:0096(pull down)|MI:0676(tandem affinity purification)|MI:0007(anti tag coimmunoprecipitation)	-	pubmed:20534429|pubmed:DIP-14929S|pubmed:20534429|pubmed:DIP-14929S|pubmed:20534429|pubmed:DIP-14929S|pubmed:20534429|pubmed:DIP-14929S|pubmed:20534429|pubmed:DIP-14929S|pubmed:11805826|pubmed:DIP-1768S|pubmed:11805837|pubmed:DIP-1767S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-11832E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-1262N|refseq:NP_009693|uniprotkb:P20486	DIP-2710N|refseq:NP_015445|uniprotkb:P30283	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)	-	pubmed:11805837|pubmed:DIP-1767S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0915(physical association)	MI:0465(dip)	DIP-11782E	dip-quality-status:core	dip:0005(high throughput)		-
DIP-2221N|refseq:NP_012793|uniprotkb:P36006	DIP-536N|refseq:NP_009667|uniprotkb:P06787	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)	-	pubmed:11805837|pubmed:DIP-1767S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0915(physical association)	MI:0465(dip)	DIP-11796E	dip-quality-status:core	dip:0005(high throughput)		-
DIP-2582N|refseq:NP_010136|uniprotkb:P53622	DIP-5255N|refseq:NP_116709|uniprotkb:P43621	 -	-	-	-	MI:0676(tandem affinity purification)|MI:0007(anti tag coimmunoprecipitation)|MI:0676(tandem affinity purification)	-	pubmed:11805826|pubmed:DIP-1768S|pubmed:11805837|pubmed:DIP-1767S|pubmed:11805826|pubmed:DIP-1768S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-11828E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-2582N|refseq:NP_010136|uniprotkb:P53622	DIP-1611N|refseq:NP_014112|uniprotkb:P32074	 -	-	-	-	MI:0676(tandem affinity purification)|MI:0007(anti tag coimmunoprecipitation)	-	pubmed:11805826|pubmed:DIP-1768S|pubmed:11805837|pubmed:DIP-1767S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-11829E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-2582N|refseq:NP_010136|uniprotkb:P53622	DIP-6467N|refseq:NP_010524|uniprotkb:P41810	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)|MI:0676(tandem affinity purification)	-	pubmed:11805837|pubmed:DIP-1767S|pubmed:11805826|pubmed:DIP-1768S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-11830E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-2582N|refseq:NP_010136|uniprotkb:P53622	DIP-6468N|refseq:NP_011378|uniprotkb:P41811	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)|MI:0676(tandem affinity purification)	-	pubmed:11805837|pubmed:DIP-1767S|pubmed:11805837|pubmed:DIP-1767S|pubmed:11805826|pubmed:DIP-1768S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-11831E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-2319N|refseq:NP_011606|uniprotkb:P22204	DIP-6468N|refseq:NP_011378|uniprotkb:P41811	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)	-	pubmed:11805837|pubmed:DIP-1767S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0915(physical association)	MI:0465(dip)	DIP-11867E	dip-quality-status:core	dip:0005(high throughput)		-
DIP-3817N|refseq:NP_015436|uniprotkb:P32328	DIP-2320N|refseq:NP_012160|uniprotkb:P40484	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)	-	pubmed:11805837|pubmed:DIP-1767S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0915(physical association)	MI:0465(dip)	DIP-11876E	dip-quality-status:core	dip:0005(high throughput)		-
DIP-4571N|refseq:NP_012397|uniprotkb:P10081	DIP-5628N|refseq:NP_012039|uniprotkb:P38719	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)	-	pubmed:11805837|pubmed:DIP-1767S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0915(physical association)	MI:0465(dip)	DIP-11891E	dip-quality-status:core	dip:0005(high throughput)		-
DIP-6496N|refseq:NP_014723|uniprotkb:Q08496	DIP-1236N|refseq:NP_010615|uniprotkb:P52286	 -	-	-	-	MI:0004(affinity chromatography technology)|MI:0007(anti tag coimmunoprecipitation)	-	pubmed:14747994|pubmed:DIP-4052S|pubmed:11805837|pubmed:DIP-1767S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)|MI:0915(physical association)	MI:0465(dip)	DIP-11916E	dip-quality-status:core	dip:0002(small scale)|dip:0005(high throughput)		-
DIP-728N|refseq:NP_014210|uniprotkb:Q02821	DIP-5880N|refseq:NP_012814|uniprotkb:P34252	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)	-	pubmed:11805837|pubmed:DIP-1767S|pubmed:11805837|pubmed:DIP-1767S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-11945E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-5880N|refseq:NP_012814|uniprotkb:P34252	DIP-4925N|refseq:NP_012194|uniprotkb:P40513	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)	-	pubmed:11805837|pubmed:DIP-1767S|pubmed:11805837|pubmed:DIP-1767S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-11943E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-2019N|refseq:NP_116615|uniprotkb:P01123	DIP-1423N|refseq:NP_015342|uniprotkb:P32601	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)	-	pubmed:11805837|pubmed:DIP-1767S|pubmed:11805837|pubmed:DIP-1767S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-11960E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-1772N|refseq:NP_010182|uniprotkb:P39009	DIP-1831N|refseq:NP_010500|uniprotkb:Q12449	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)	-	pubmed:11805837|pubmed:DIP-1767S|pubmed:11805837|pubmed:DIP-1767S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-11969E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-6505N|refseq:NP_014601|uniprotkb:Q08208	DIP-4920N|refseq:NP_013175|uniprotkb:Q08004	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)	-	pubmed:11805837|pubmed:DIP-1767S|pubmed:11805837|pubmed:DIP-1767S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-11532E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-6344N|refseq:NP_116649|uniprotkb:P43583	DIP-4920N|refseq:NP_013175|uniprotkb:Q08004	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)	-	pubmed:11805837|pubmed:DIP-1767S|pubmed:11805837|pubmed:DIP-1767S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-11520E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-4920N|refseq:NP_013175|uniprotkb:Q08004	DIP-6326N|refseq:NP_011617|uniprotkb:P53261	 -	-	-	-	MI:0676(tandem affinity purification)|MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)	-	pubmed:11805826|pubmed:DIP-1768S|pubmed:11805837|pubmed:DIP-1767S|pubmed:11805837|pubmed:DIP-1767S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-11543E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-4472N|refseq:NP_013276|uniprotkb:P33322	DIP-4405N|refseq:NP_013298|uniprotkb:Q12460	 -	-	-	-	MI:0676(tandem affinity purification)|MI:0007(anti tag coimmunoprecipitation)	-	pubmed:11805826|pubmed:DIP-1768S|pubmed:11805837|pubmed:DIP-1767S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-11591E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-1262N|refseq:NP_009693|uniprotkb:P20486	DIP-2269N|refseq:NP_013926|uniprotkb:P20437	 -	-	-	-	MI:0676(tandem affinity purification)|MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)	-	pubmed:11805826|pubmed:DIP-1768S|pubmed:11805837|pubmed:DIP-1767S|pubmed:11805837|pubmed:DIP-1767S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-11783E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-1671N|refseq:NP_013953|uniprotkb:Q05016	DIP-1772N|refseq:NP_010182|uniprotkb:P39009	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)	-	pubmed:11805837|pubmed:DIP-1767S|pubmed:11805837|pubmed:DIP-1767S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-11971E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-4920N|refseq:NP_013175|uniprotkb:Q08004	DIP-4331N|refseq:NP_014224|uniprotkb:P53883	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)	-	pubmed:11805837|pubmed:DIP-1767S|pubmed:11805837|pubmed:DIP-1767S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-11533E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-1892N|refseq:NP_011052|uniprotkb:P40078	DIP-4920N|refseq:NP_013175|uniprotkb:Q08004	 -	-	-	-	MI:0676(tandem affinity purification)|MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)	-	pubmed:11805826|pubmed:DIP-1768S|pubmed:11805837|pubmed:DIP-1767S|pubmed:11805837|pubmed:DIP-1767S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-11528E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-4920N|refseq:NP_013175|uniprotkb:Q08004	DIP-5152N|refseq:NP_011395|uniprotkb:P53131	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)	-	pubmed:11805837|pubmed:DIP-1767S|pubmed:11805837|pubmed:DIP-1767S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-11534E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-6345N|refseq:NP_012173|uniprotkb:P40496	DIP-4920N|refseq:NP_013175|uniprotkb:Q08004	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)	-	pubmed:11805837|pubmed:DIP-1767S|pubmed:11805837|pubmed:DIP-1767S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-11538E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-4920N|refseq:NP_013175|uniprotkb:Q08004	DIP-2034N|refseq:NP_009509|uniprotkb:P38194	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)	-	pubmed:11805837|pubmed:DIP-1767S|pubmed:11805837|pubmed:DIP-1767S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-11539E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-5819N|refseq:NP_010386|uniprotkb:Q03862	DIP-4920N|refseq:NP_013175|uniprotkb:Q08004	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)|MI:0676(tandem affinity purification)|MI:0007(anti tag coimmunoprecipitation)	-	pubmed:11805837|pubmed:DIP-1767S|pubmed:11805826|pubmed:DIP-1768S|pubmed:11805837|pubmed:DIP-1767S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-11540E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-6291N|refseq:NP_010921|uniprotkb:P40010	DIP-4920N|refseq:NP_013175|uniprotkb:Q08004	 -	-	-	-	MI:0676(tandem affinity purification)|MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)	-	pubmed:11805826|pubmed:DIP-1768S|pubmed:11805837|pubmed:DIP-1767S|pubmed:11805837|pubmed:DIP-1767S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-11541E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-2010N|refseq:NP_009386|uniprotkb:P31383	DIP-2281N|refseq:NP_011325|uniprotkb:Q00362	 -	-	-	-	MI:0676(tandem affinity purification)|MI:0007(anti tag coimmunoprecipitation)|MI:0676(tandem affinity purification)	-	pubmed:11805826|pubmed:DIP-1768S|pubmed:11805837|pubmed:DIP-1767S|pubmed:11805826|pubmed:DIP-1768S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-11703E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-5817N|refseq:NP_009506|uniprotkb:P34216	DIP-536N|refseq:NP_009667|uniprotkb:P06787	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)	-	pubmed:11805837|pubmed:DIP-1767S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0915(physical association)	MI:0465(dip)	DIP-11790E	dip-quality-status:core	dip:0005(high throughput)		-
DIP-728N|refseq:NP_014210|uniprotkb:Q02821	DIP-5037N|refseq:NP_012445|uniprotkb:P47027	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)	-	pubmed:11805837|pubmed:DIP-1767S|pubmed:11805837|pubmed:DIP-1767S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-11938E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-3970N|refseq:NP_013764|uniprotkb:Q04660	DIP-4312N|refseq:NP_116609|uniprotkb:P07283	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)	-	pubmed:11805837|pubmed:DIP-1767S|pubmed:11805837|pubmed:DIP-1767S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-12017E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-4839N|refseq:NP_013102|uniprotkb:Q07896	DIP-3970N|refseq:NP_013764|uniprotkb:Q04660	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)	-	pubmed:11805837|pubmed:DIP-1767S|pubmed:11805837|pubmed:DIP-1767S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-12025E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-1327N|refseq:NP_014903|uniprotkb:P09032	DIP-2561N|refseq:NP_010942|uniprotkb:P32481	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)|MI:0676(tandem affinity purification)	-	pubmed:11805837|pubmed:DIP-1767S|pubmed:11805826|pubmed:DIP-1768S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-12144E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)		-
